"species","domain","phylum_division","class"
"Acetivibrio thermocellus","Bacteria","Bacillota","Clostridia"
"Acidianus ambivalens","Archaea","Thermoproteota","Thermoprotei"
"Acidiphilium cryptum","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Acidithiobacillus ferrooxidans","Bacteria","Pseudomonadota","Acidithiobacillia"
"Acinetobacter baumannii","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Acinetobacter baylyi","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Acorus calamus var. americanus","Eukaryota","Streptophyta","Magnoliopsida"
"Actinobacillus pleuropneumoniae serotype 5b","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Actinobacillus pleuropneumoniae serotype 7","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Adiantum capillus-veneris","Eukaryota","Streptophyta","Polypodiopsida"
"Aedes aegypti","Eukaryota","Arthropoda","Insecta"
"Aeromonas hydrophila","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Aeromonas hydrophila subsp. hydrophila","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Aeromonas salmonicida","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Aeropyrum pernix","Archaea","Thermoproteota","Thermoprotei"
"Agrobacterium fabrum","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Agrostis stolonifera","Eukaryota","Streptophyta","Magnoliopsida"
"Ajellomyces capsulatus","Eukaryota","Ascomycota","Eurotiomycetes"
"Alcanivorax borkumensis","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Aliivibrio fischeri","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Alkalihalobacillus clausii","Bacteria","Bacillota","Bacilli"
"Alkalihalophilus pseudofirmus","Bacteria","Bacillota","Bacilli"
"Alligator mississippiensis","Eukaryota","Chordata",
"Allochromatium vinosum","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Anas platyrhynchos","Eukaryota","Chordata","Other"
"Anopheles gambiae","Eukaryota","Arthropoda","Insecta"
"Anopheles quadrimaculatus","Eukaryota","Arthropoda","Insecta"
"Anthoceros angustus","Eukaryota","Streptophyta","Anthocerotopsida"
"Apis mellifera","Eukaryota","Arthropoda","Insecta"
"Aquifex aeolicus","Bacteria","Aquificota","Other"
"Arabidopsis thaliana","Eukaryota","Vascular plant","Unknown"
"Archaeoglobus fulgidus","Archaea","Euryarchaeota","Other"
"Ashbya gossypii","Eukaryota","Ascomycota","Other"
"Aspergillus clavatus","Eukaryota","Ascomycota","Eurotiomycetes"
"Aspergillus flavus","Eukaryota","Ascomycota","Eurotiomycetes"
"Aspergillus fumigatus","Eukaryota","Ascomycota","Eurotiomycetes"
"Aspergillus niger","Eukaryota","Ascomycota","Eurotiomycetes"
"Aspergillus oryzae","Eukaryota","Ascomycota","Eurotiomycetes"
"Azoarcus sp.","Bacteria","Pseudomonadota","Betaproteobacteria"
"Azospirillum brasilense","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Bacillus anthracis","Bacteria","Bacillota","Bacilli"
"Bacillus cereus","Bacteria","Bacillota","Bacilli"
"Bacillus cytotoxicus","Bacteria","Bacillota","Bacilli"
"Bacillus licheniformis","Bacteria","Bacillota","Bacilli"
"Bacillus sp","Bacteria","Bacillota","Bacilli"
"Bacillus sp.","Bacteria","Bacillota","Bacilli"
"Bacillus spizizenii","Bacteria","Bacillota","Bacilli"
"Bacillus subtilis","Bacteria","Bacillota","Bacilli"
"Bacillus thuringiensis","Bacteria","Bacillota","Bacilli"
"Bacillus thuringiensis serovar kurstaki","Bacteria","Bacillota","Bacilli"
"Bacillus thuringiensis subsp. israelensis","Bacteria","Bacillota","Bacilli"
"Bacillus thuringiensis subsp. konkukian","Bacteria","Bacillota","Bacilli"
"Balaenoptera musculus","Eukaryota","Chordata","Mammalia"
"Balaenoptera physalus","Eukaryota","Chordata","Mammalia"
"Barbarea verna","Eukaryota","Streptophyta","Magnoliopsida"
"Bartonella bacilliformis","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Bifidobacterium longum","Bacteria","Actinomycetota","Actinomycetes"
"Bifidobacterium longum subsp. infantis","Bacteria","Actinomycetota","Actinomycetes"
"Blastochloris viridis","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Blastomyces gilchristii","Eukaryota","Ascomycota","Eurotiomycetes"
"Bordetella pertussis","Bacteria","Pseudomonadota","Betaproteobacteria"
"Borreliella burgdorferi","Bacteria","Spirochaetota","Spirochaetia"
"Bos mutus grunniens","Eukaryota","Chordata","Mammalia"
"Bos taurus","Eukaryota","Chordata","Mammalia"
"Bradyrhizobium diazoefficiens","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Branchiostoma floridae","Eukaryota","Chordata","Other"
"Brucella canis","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Brucella melitensis","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Brucella melitensis biotype 1","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Brucella melitensis biotype 2","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Brucella ovis","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Brucella suis biovar 1","Bacteria","Pseudomonadota","Alphaproteobacteria"
"Brugia malayi","Eukaryota","Nematoda","Other"
"Buchnera aphidicola","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Buchnera aphidicola subsp. Acyrthosiphon pisum","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Buchnera aphidicola subsp. Baizongia pistaciae","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Buchnera aphidicola subsp. Schizaphis graminum","Bacteria","Pseudomonadota","Gammaproteobacteria"
"Burkholderia cenocepacia","Bacteria","Pseudomonadota","Betaproteobacteria"
"Burkholderia mallei","Bacteria","Pseudomonadota","Betaproteobacteria"
