species,model,rating,std_err,ci_lower,ci_upper,domain
Acetivibrio thermocellus,proteinmpnn_score,1656.5856469883822,8.766794287831749,1522.507051178357,1773.653326503637,Bacteria
Acidianus ambivalens,proteinmpnn_score,1793.3251248831543,8.283752691335785,1681.4897292606224,1894.36941814536,Archaea
Acidiphilium cryptum,proteinmpnn_score,1780.5221459818072,23.276977353948116,1575.589714384858,2004.8895791639027,Bacteria
Acidithiobacillus ferrooxidans,proteinmpnn_score,1463.215722296126,2.781185681811388,1414.26538540494,1497.2433627690598,Bacteria
Acinetobacter baumannii,proteinmpnn_score,1367.043808641465,47.27055755565378,979.2818680762591,1890.70389751489,Bacteria
Acinetobacter baylyi,proteinmpnn_score,1408.8999854706808,50.00821744330433,816.859428034395,2012.8537646215561,Bacteria
Acorus calamus var. americanus,proteinmpnn_score,1175.8130616725432,14.647924709375095,1031.463911828174,1343.6928814118846,Eukaryota
Actinobacillus pleuropneumoniae serotype 5b,proteinmpnn_score,1610.054908442392,2.737832511028097,1577.2642763859465,1648.917282415799,Bacteria
Actinobacillus pleuropneumoniae serotype 7,proteinmpnn_score,1442.7728313780751,1.3817625592539196,1422.317401684757,1459.3934580278096,Bacteria
Adiantum capillus-veneris,proteinmpnn_score,1638.445419626216,20.011047422798732,1445.3452557511407,1830.736889779038,Eukaryota
Aedes aegypti,proteinmpnn_score,1129.286304235217,30.912744574635514,774.8031121722909,1597.2410765313168,Eukaryota
Aeromonas hydrophila,proteinmpnn_score,1548.0905162513207,42.99662793429068,1020.1554780837432,2077.4797627195035,Bacteria
Aeromonas hydrophila subsp. hydrophila,proteinmpnn_score,1840.451049102096,8.539541836860012,1758.2813883887168,1945.6912325650035,Bacteria
Aeromonas salmonicida,proteinmpnn_score,1618.2647770260187,8.473456592107484,1524.3581118013274,1737.5180997204018,Bacteria
Aeropyrum pernix,proteinmpnn_score,1999.495226728371,18.77041671425331,1779.7367703967989,2247.1375882073867,Archaea
Agrobacterium fabrum,proteinmpnn_score,1413.3263200883466,37.375816761048945,956.9879158299315,1950.2409546284257,Bacteria
Agrostis stolonifera,proteinmpnn_score,1135.018634168931,11.665348913380683,1011.332849900775,1274.1580758303614,Eukaryota
Ajellomyces capsulatus,proteinmpnn_score,1438.8954477943514,35.02801815698636,1150.981398781142,1760.595021245608,Eukaryota
Alcanivorax borkumensis,proteinmpnn_score,1593.7504736996623,6.076219018575194,1502.2429870068286,1689.7717118341932,Bacteria
Aliivibrio fischeri,proteinmpnn_score,1481.703189501063,35.632702436679644,1076.625403549621,1929.0765551932873,Bacteria
Alkalihalobacillus clausii,proteinmpnn_score,1608.6497192706963,44.8638898739784,899.8078851053333,2092.0507307684784,Bacteria
Alkalihalophilus pseudofirmus,proteinmpnn_score,2031.864205088008,4.754328927158797,1976.5845503629168,2084.750931124112,Bacteria
Alligator mississippiensis,proteinmpnn_score,1474.9669517369712,42.84777076197582,886.1232285016661,1741.6826819002897,Eukaryota
Allochromatium vinosum,proteinmpnn_score,1475.3491512360315,4.4152054523155515,1423.196842555909,1521.3821543130935,Bacteria
Anas platyrhynchos,proteinmpnn_score,1457.5094573033741,53.33607147148084,874.233805810892,1972.1283892878018,Eukaryota
Anopheles gambiae,proteinmpnn_score,1131.501680898437,28.625232033979053,714.9087943252681,1489.5610626932723,Eukaryota
Anopheles quadrimaculatus,proteinmpnn_score,1115.9560870254013,38.888602537162356,823.7314724235788,1550.542688763737,Eukaryota
