model,type,n,families,species,R2_LowDim,R2adj_LowDim,R2_Biophys,R2adj_Biophys,R2_Family,R2adj_Family,R2_Species,R2adj_Species,R2_Fam+Spec,R2adj_Fam+Spec,R2_Biophys+Family,R2adj_Biophys+Family,R2_Biophys+Species,R2adj_Biophys+Species,R2_Full,R2adj_Full,dBiophys_given_family_species,dSpecies_given_family_biophys,species_only_R2,biophysics_only_R2,residual_species_R2,species_attenuation,residual_species_R2_adj,species_only_R2_adj,species_attenuation_adj,species_effect_corr_given_family,species_effect_retention_given_family,species_effect_signflip_given_family,species_effect_corr_given_family_biophys,species_effect_retention_given_family_biophys,species_effect_signflip_given_family_biophys,species_partial_R2_given_family_biophys,species_p_given_family_biophys,biophys_partial_R2_given_family_species,biophys_p_given_family_species
ProteinMPNN,structure,875,185,213,0.1576093546151105,0.15567726597890663,0.4156853233851969,0.40617322399844435,0.4979497324149168,0.3640696610588946,0.4111872932400381,0.22262491584863042,0.7005814790124398,0.4525276415415741,0.67324456089375,0.5775380861259429,0.6150525876367383,0.4807962370285638,0.7996816940249685,0.6226762943487553,0.09910021501252864,0.12643713313121852,0.4111872932400381,0.4156853233851969,0.12643713313121852,0.6925071975475455,0.04513820822281234,0.22262491584863042,0.7972454787877238,0.7395854392760434,0.6188800748625545,0.16114285714285714,0.5928549393349718,0.47229516162303237,0.19085714285714286,0.3869472945180428,0.002404617764609744,0.3309755678629043,1.0443742953090486e-32
SolubleMPNN,structure,875,185,213,0.14077580598012351,0.13880510828741732,0.39949865945297014,0.38972305623476267,0.494134402273568,0.35923690954651943,0.4092498074481502,0.22006696632882672,0.6997750638968702,0.4510531503051559,0.6648006094353446,0.5666209062817917,0.6177620278597464,0.48445063634169505,0.7993012903390955,0.6219597580956238,0.09952622644222531,0.1345006809037509,0.4092498074481502,0.39949865945297014,0.1345006809037509,0.6713482121288684,0.055338851813832024,0.22006696632882672,0.7485363081202108,0.7427275932629073,0.6248362173020431,0.18057142857142858,0.6038507138209094,0.4890753191770672,0.2102857142857143,0.4012557441622421,0.0004045529659783408,0.33150552960076957,8.772522280007642e-33
Caliby,structure,870,185,211,0.13861790647408023,0.13663086588924545,0.3704025924653146,0.3600933951489571,0.45403333030994286,0.3073795095464823,0.37668955980172913,0.1780625606490176,0.681805824489631,0.4178721294347144,0.6390435638768894,0.532531828627447,0.5908354550772927,0.4487380007165386,0.7868348917614469,0.5981768350123589,0.10502906727181593,0.1477913278845575,0.37668955980172913,0.3704025924653146,0.1477913278845575,0.6076574886695888,0.06564500638491189,0.1780625606490176,0.6313374010480172,0.7885662747696697,0.6878069150751811,0.19425287356321838,0.6296851043738592,0.540514294143281,0.17471264367816092,0.4094436699118746,0.00012474990495739213,0.33007853491772465,2.4623441875319828e-32
SolubleCaliby,structure,870,185,211,0.13861790647408023,0.13663086588924545,0.3704025924653146,0.3600933951489571,0.45403333030994286,0.3073795095464823,0.37668955980172913,0.1780625606490176,0.681805824489631,0.4178721294347144,0.6390435638768894,0.532531828627447,0.5908354550772927,0.4487380007165386,0.7868348917614469,0.5981768350123589,0.10502906727181593,0.1477913278845575,0.37668955980172913,0.3704025924653146,0.1477913278845575,0.6076574886695888,0.06564500638491189,0.1780625606490176,0.6313374010480172,0.7885662747696697,0.6878069150751811,0.19425287356321838,0.6296851043738592,0.540514294143281,0.17471264367816092,0.4094436699118746,0.00012474990495739213,0.33007853491772465,2.4623441875319828e-32
ESM-IF,structure,847,184,209,0.08387343796337587,0.08170252193959238,0.2645046397669333,0.2521285159168577,0.4637555311764894,0.3157423519989593,0.3786076211417463,0.1760220180030052,0.6974989854797555,0.4375475642107103,0.5820304274991102,0.45515830764907117,0.5159654878421333,0.3437609017859692,0.7555784585582299,0.5311096960096655,0.058079473078474386,0.17354803105911976,0.3786076211417463,0.2645046397669333,0.17354803105911976,0.5416150616943197,0.07595138836059434,0.1760220180030052,0.5685120008151615,0.7615801799938767,0.6691712008806833,0.14167650531286896,0.6654820468506003,0.5620884547104783,0.2632821723730815,0.4152169020838239,0.0002117003689989625,0.1919976141917614,3.799629086826283e-14
ESM3-struct,structure,876,185,213,0.05227543877195129,0.050104248482768954,0.21171475727875455,0.1988971110556449,0.46066266991961524,0.31704751979690793,0.3948333171872773,0.20132602192891047,0.674641972933663,0.4056612240437476,0.5509827105610589,0.4196600764267747,0.49818698773243564,0.32344162444665814,0.7219155668081106,0.47672284076795013,0.04727359387444763,0.1709328562470518,0.3948333171872773,0.21171475727875455,0.1709328562470518,0.567075905689147,0.05706276434117541,0.20132602192891047,0.7165653808958454,0.7781783101622822,0.6416345311386499,0.1358447488584475,0.6867051682472599,0.5714113330180663,0.14726027397260275,0.3806821257609854,0.004579459834191773,0.14529714942243951,3.7121228979131305e-10
MIF,hybrid,562,162,185,0.11970442538212545,0.1165548884425266,0.2503311036032613,0.23114396548707417,0.5131988386131194,0.31726137115490005,0.47084282764672203,0.21258044114008245,0.7681374041433799,0.39780131353905623,0.5938483286662783,0.40971220824295895,0.573753709625118,0.3412557330570004,0.8214140099483751,0.5040260375298933,0.05327660580499516,0.22756568128209675,0.47084282764672203,0.2503311036032613,0.22756568128209675,0.5166844052409746,0.09431382928693433,0.21258044114008245,0.5563381617747933,0.729546981424533,0.6340836938248184,0.199288256227758,0.6573548217118789,0.5683759906891056,0.2526690391459075,0.5602972912429884,0.009925351180518972,0.22977662959462672,1.1598216725310072e-06
MIF-ST,hybrid-ST,562,162,185,0.00963602521065543,0.006092683619280392,0.05922077884229382,0.035142334425094846,0.5063222713192351,0.3076169855252273,0.47037974502091573,0.21189134471282156,0.7597915454288031,0.3761252638220304,0.5543486442256842,0.35230463577877935,0.5193590964531491,0.25719133088213963,0.7969341272989783,0.4360398287857763,0.03714258187017516,0.24258548307329408,0.47037974502091573,0.05922077884229382,0.24258548307329408,0.4842773617675494,0.08373519300699694,0.21189134471282156,0.6048201349588673,0.7178624594481784,0.5622151025998201,0.2206405693950178,0.6859676724365088,0.5428053617739617,0.2188612099644128,0.5443391564506824,0.02989430075606336,0.1546264553280583,0.001511347129010934
ESM3-seq,sequence,876,185,213,0.026258541907985156,0.024027748189561215,0.12537206032968506,0.1111504678147206,0.4951255689495119,0.36068722551493904,0.3824750363162355,0.1850160735696923,0.6854148237357118,0.42534023124999554,0.5565243685217806,0.4268224851647828,0.44929391873223445,0.25752261770524676,0.7189405193909603,0.4711246332625596,0.03352569565524843,0.1624161508691797,0.3824750363162355,0.12537206032968506,0.1624161508691797,0.5753548978425566,0.04430214809777677,0.1850160735696923,0.7605497336365808,0.7263718011810162,0.6114486323239583,0.12442922374429223,0.6634590041329348,0.5606132693861807,0.15753424657534246,0.3662346684705189,0.01951940991479381,0.10657112345014952,1.8524118481151559e-06
ESM2-15B,sequence,876,185,213,0.009578863504619117,0.00730985746453805,0.027630239709486193,0.011819349298258341,0.3256819407359821,0.14612402046886297,0.41277133248395526,0.22499987318772374,0.6086785102447844,0.28516429324464787,0.3572138718283254,0.16922029224488155,0.4353701553537428,0.23875020945227265,0.6258837872371901,0.2960178792097663,0.017205276992405705,0.26866991540886465,0.41277133248395526,0.027630239709486193,0.26866991540886465,0.3491071344706138,0.12679758696488475,0.22499987318772374,0.43645485142520973,0.8379181520643789,0.6935449159512996,0.11643835616438356,0.8110430983566863,0.6791279846139707,0.1906392694063927,0.41797715232757565,3.367059049987111e-05,0.043967115128709475,0.09721196016933129
