model,type,n,PDB_resid_spec_raw,PDB_resid_spec_adj,species_partial_R2_given_family_biophys,species_p_given_family_biophys,PDB_retention,AF2_resid_spec_raw,AF2_retention
ProteinMPNN,structure,875,0.12643713313121852,0.04513820822281234,0.3869472945180428,0.002404617764609744,0.47229516162303237,0.0276080322518447,0.2587108864365071
SolubleMPNN,structure,875,0.1345006809037509,0.055338851813832024,0.4012557441622421,0.0004045529659783408,0.4890753191770672,0.0230930693295455,0.2291711322501967
Caliby,structure,870,0.1477913278845575,0.06564500638491189,0.4094436699118746,0.00012474990495739213,0.540514294143281,0.0246235312679869,0.2314274602311246
SolubleCaliby,structure,870,0.1477913278845575,0.06564500638491189,0.4094436699118746,0.00012474990495739213,0.540514294143281,0.0231992521475646,0.2178431614335199
ESM-IF,structure,847,0.17354803105911976,0.07595138836059434,0.4152169020838239,0.0002117003689989625,0.5620884547104783,0.014652057881379,0.2311749025271588
ESM3-struct,structure,876,0.1709328562470518,0.05706276434117541,0.3806821257609854,0.004579459834191773,0.5714113330180663,0.0478800617953144,0.3461440605996032
MIF,hybrid,562,0.22756568128209675,0.09431382928693433,0.5602972912429884,0.009925351180518972,0.5683759906891056,0.033970938657079,0.3058142357580234
MIF-ST,hybrid-ST,562,0.24258548307329408,0.08373519300699694,0.5443391564506824,0.02989430075606336,0.5428053617739617,0.1587742030398352,0.7420584017730332
ESM3-seq,sequence,876,0.1624161508691797,0.04430214809777677,0.3662346684705189,0.01951940991479381,0.5606132693861807,0.0509054718005378,0.3667268132343103
ESM2-15B,sequence,876,0.26866991540886465,0.12679758696488475,0.41797715232757565,3.367059049987111e-05,0.6791279846139707,0.2007464448925708,0.7992480437125754
CARP-640M,sequence,876,0.20699950865052408,0.12543088532655522,0.4618798250635845,1.1630532546229887e-08,0.5129527018298605,0.1902644311988762,0.7570432239600438
ProGen2-XL,sequence,876,0.27843565970129225,0.27665499846260877,0.6634875261002948,9.4875396992375e-40,0.5225077004332681,0.1646223072782214,0.7496456490009116
ProtGPT2,sequence,876,0.13830101565235964,0.03229805456875623,0.3575164937023821,0.04147379482352846,0.4745927006722327,0.1530120307624825,0.8232741284753788
AlkalineMPNN,structure(FT),875,0.13565424358592937,0.03444988557504858,0.36247973014147555,0.02856050090404664,0.4934436364365635,,
AcidophileMPNN,structure(FT),875,0.1374789916497996,0.042911734555594605,0.37589940884721984,0.00803652917139052,0.4995898318222097,,
