model,type,R2_LowDim,R2_Biophys,R2_Family,R2_Species,R2_Fam+Spec,R2_Biophys+Family,R2_Biophys+Species,R2_Full,R2adj_LowDim,R2adj_Biophys,R2adj_Family,R2adj_Species,R2adj_Fam+Spec,R2adj_Biophys+Family,R2adj_Biophys+Species,R2adj_Full,dBiophys_given_family_species,dSpecies_given_family_biophys,dFamily_given_species_biophys,dFamilySpecies_given_biophys,species_only_R2,family_only_R2,biophysics_only_R2,residual_species_R2,residual_biophysics_R2,species_attenuation,species_attenuation_adj,biophys_partial_R2_given_family_species,biophys_F_given_family_species,biophys_p_given_family_species,species_partial_R2_given_family_biophys,species_F_given_family_biophys,species_p_given_family_biophys,species_effect_corr_given_family,species_effect_retention_given_family,species_effect_signflip_given_family,species_effect_corr_given_family_biophys,species_effect_retention_given_family_biophys,species_effect_signflip_given_family_biophys
ProteinMPNN,structure,0.05553553232679209,0.630434479871334,0.851937228955307,0.29822019471544814,0.9036477442399206,0.894873761453425,0.7125541248336433,0.9224817937052696,0.05534750436189595,0.629918841314248,0.8476930053790873,0.2621655871613292,0.8956400273927694,0.891705100992825,0.6973429578045109,0.915912454188767,0.018834049465349056,0.027608032251844605,0.20992766887162628,0.29204731383393556,0.29822019471544814,0.851937228955307,0.630434479871334,0.027608032251844605,0.018834049465349056,0.9074240016569391,0.9076638796950665,0.1954707683465815,160.75467810031836,0.0,0.26261790237661015,6.718957756577504,0.0,0.6716760879073932,0.3588297753711445,0.14638272464921884,0.5470981549649502,0.258710886436508,0.281122499751219
SolubleMPNN,structure,0.03931354968222833,0.6571614806355542,0.8783876573673698,0.320141533549813,0.9208096713743508,0.9121841980895192,0.7333980406213072,0.9352772674190648,0.039122292176690276,0.6566831330900986,0.8749016360797841,0.2852131557087497,0.9142282610724886,0.909537299815818,0.7192898996293509,0.9297922900816974,0.014467596044714037,0.02309306932954558,0.2018792267977576,0.27811578678351057,0.320141533549813,0.8783876573673698,0.6571614806355542,0.02309306932954558,0.014467596044714037,0.9278660626333497,0.9289829733991544,0.18269397659789635,147.898291702118,0.0,0.26297168422018846,6.7312386213683775,0.0,0.6012605479639829,0.3139157816588091,0.16787740073639168,0.48127002597691154,0.22917113225019736,0.31684744750721466
ESM-IF,structure,0.2117298662502124,0.48216533999880207,0.8193932478297468,0.22109564820657668,0.858621365320195,0.8926392820790017,0.552971069250505,0.9072913399603807,0.2115729341113014,0.4814428280155434,0.8142161501016887,0.18107869343723781,0.8468715617912383,0.8894032711020924,0.5293150271224012,0.8994346738553283,0.04866997464018574,0.014652057881379021,0.3543202707098757,0.4251259999615786,0.22109564820657668,0.8193932478297468,0.48216533999880207,0.014652057881379021,0.04866997464018574,0.9337297771338804,0.9446019707629888,0.34425268535386366,347.3477134093109,0.0,0.13647503635511088,2.9815939155277973,1.762043204609902e-87,0.6834838124289548,0.3540610316729999,0.12279828838690417,0.4440019431738728,0.23117490252715903,0.25485122897800777
MIF,hybrid,0.05754224634022831,0.562509850407651,0.8143651985870282,0.27450182221308184,0.8728536059449602,0.8579912923361372,0.6596266128385977,0.8919622309932163,0.05735461788041141,0.5618994395949848,0.8090439716832984,0.23722866062541037,0.8622866263377127,0.8537109396548602,0.6416146081737639,0.8828064878570482,0.019108625048256056,0.03397093865707901,0.23233561815461856,0.32945238058556525,0.27450182221308184,0.8143651985870282,0.562509850407651,0.03397093865707901,0.019108625048256056,0.8762451251390634,0.8773523058913589,0.15028837577559803,117.02467932492998,4.21632535e-314,0.2392172931922523,5.93201323965855,8.818944748952717e-283,0.6909014463906145,0.4032253153886916,0.13692904766643446,0.5699278420184365,0.30581423575802413,0.31057816698178925
MIF-ST,hybrid-ST,0.11588011705426093,0.2767668360243335,0.5892989487377963,0.23845346878557772,0.7564716350660631,0.6142698413707324,0.4700482645912377,0.7730440444105677,0.11570410274350129,0.275757740519484,0.5775261913306078,0.19932828862168928,0.7362322937527004,0.6026433633476644,0.4420040828474019,0.7538104888521413,0.016572409344504657,0.15877420303983536,0.30299577981933,0.49627720838623424,0.23845346878557772,0.5892989487377963,0.2767668360243335,0.15877420303983536,0.016572409344504657,0.3341501641873434,0.24161730103758042,0.06805124876931808,48.31341059088551,2.4150250375258874e-130,0.4116198837136717,13.198012331274194,0.0,0.760282476455789,0.7938115974998016,0.2923673997412678,0.7347985678218235,0.7420584017730328,0.30729425813513783
Caliby,structure,0.06678510246180913,0.6427320004489393,0.859422678596089,0.32469095631358647,0.9079409955083114,0.9026420790884964,0.7225372720079088,0.9272656103564834,0.06659931410872566,0.6422335200828126,0.8553930256483929,0.2899963094107896,0.9002900854659387,0.8997075672217768,0.7078543968495723,0.9211016790307616,0.01932461484817194,0.024623531267986998,0.2047283383485745,0.28453360990754406,0.32469095631358647,0.859422678596089,0.6427320004489393,0.024623531267986998,0.01932461484817194,0.9241631748923564,0.9262262618015622,0.20991553140156677,175.79020658585463,0.0,0.25291759558392124,6.386761645054463,1.9973514159e-313,0.6627698024507482,0.32558445702892996,0.12110657776893223,0.5227766926874128,0.23142746023112545,0.2753507811722559
SolubleCaliby,structure,0.06574607912290098,0.6555040996856494,0.8738099918403853,0.34048226053136643,0.9192108724480562,0.91281642142273,0.732000685589592,0.9360156735702947,0.06556008391667412,0.6550234396692649,0.8701927516392498,0.3065989069602564,0.9124965879441704,0.9101885792962467,0.7178185988477649,0.9305932730254044,0.016804801122238477,0.023199252147564686,0.20401498798070272,0.2805115738846453,0.34048226053136643,0.8738099918403853,0.6555040996856494,0.023199252147564686,0.016804801122238477,0.9318635510955571,0.9334482502515814,0.20800820149262872,173.7734418514298,0.0,0.2660965806422292,6.840227633022926,0.0,0.6350366904520456,0.30688950595288383,0.133844163598368,0.5037072669174633,0.21784316143352056,0.2652005174644243
TriFlow,structure,0.09284832029756518,0.4582138957769034,0.7665793048634282,0.21368532079940472,0.8044203504014044,0.8089683645655289,0.5336446446866703,0.8276784081456642,0.09266772071968299,0.45745796539429195,0.7598882939463274,0.1732876533841602,0.7881659675361983,0.8032103882668069,0.5089658796826639,0.8130748834122459,0.02325805774425982,0.018710043580135283,0.2940337634589939,0.36946451236876077,0.21368532079940472,0.7665793048634282,0.4582138957769034,0.018710043580135283,0.02325805774425982,0.912441137696589,0.9430744490285731,0.11891859808520092,89.30121647502892,8.63788713930813e-242,0.09794212114439736,2.0483552208954774,8.70878659492539e-35,0.6588840863360134,0.37037863379142094,0.20827943078913325,0.4744151816006282,0.27006014001816064,0.33983480943377453
ESM3-struct,structure,0.3003226620062892,0.48054346083501853,0.7467470038772446,0.3506201872447192,0.8135881736230177,0.7906539982645571,0.5807916427666395,0.8385340600598715,0.30018336729436534,0.47981868591491594,0.7394874994838814,0.31725767933817506,0.798095717210745,0.784343999852601,0.5586078200271606,0.8248505058276573,0.024945886436853804,0.047880061795314455,0.257742417293232,0.357990599224853,0.3506201872447192,0.7467470038772446,0.48054346083501853,0.047880061795314455,0.024945886436853804,0.8634417995963933,0.8723230086674146,0.13382137239729355,102.22135753312013,8.525842026359328e-276,0.2287125686585696,5.594276774363535,5.8320188265871546e-260,0.6155565654219749,0.40094082698947564,0.21932530600059708,0.44966312525765184,0.346144060599603,0.3140611006070256
ESM3-seq,sequence,0.3105276002290043,0.4329898363603544,0.784274911611608,0.3344657382601707,0.8476018942804306,0.8131064275799802,0.5433607613457434,0.8640118993805181,0.3103903371591713,0.43219871195423964,0.7780911457691889,0.3002732801128173,0.834936276137735,0.8074731786265779,0.5191961573930661,0.8524874840737824,0.0164100051000875,0.05090547180053795,0.32065113803477474,0.43102206302016377,0.3344657382601707,0.784274911611608,0.4329898363603544,0.05090547180053795,0.0164100051000875,0.8478006385187946,0.8500888742738216,0.107678537227253,79.84200537172052,1.4996870944824653e-216,0.27237679253160313,7.062097853598355,0.0,0.5654339099315369,0.4091029986137021,0.3314757687332073,0.4385245061626704,0.3667268132343101,0.3695890138322221
