Entry,species,domain,protein_name,protein_family,broad_function,solublempnn_score,esmif_score,mif_score,mifst_score,carp_640M_score,ESM2_15B_pppl_score,caliby_score,triflow_score,esm3_struct_cond_score,esm3_seq_only_score,progen2_score,progen2_XL_score,protgpt2_score,sequence_length,mw_per_residue,isoelectric_point,charge_at_ph7,charge_per_residue,buffer_capacity,basic_residue_fraction,acidic_residue_fraction,gravy,aromaticity,hydrophobic_fraction,instability_index,proline_fraction,small_residue_fraction,helix_percent,sheet_percent,loop_percent,ordered_percent,helix_sheet_contrast,rco,avg_cb_distance,surface_exposure,compactness,avg_plddt,soluble_caliby_score,deepstabp_tm,proteinmpnn_score,ProteinMPNN_v020_score,AlkSecMPNN_020_score,AcidSecMPNN_020_score
A0A1D8PCG7,Candida albicans,Eukaryota,Small ribosomal subunit protein eS21,Eukaryotic ribosomal protein eS21 family,ribosomal,-1.8206496238708496,-1.44946999385439,-1.5924402475357056,-1.7570044994354248,-2.742837429046631,-0.466516291,1.60041,-1.640546,-1.111839,-1.333525,-2.903149834994612,-0.702050833866514,-3.1027667166172774,87,110.78966206896553,7.855617713928223,0.58946551285187,0.006775465664964,0.8509282727100311,0.160919540229885,0.1379310344827586,-0.571264367816092,0.057471264367816,0.3563218390804598,16.102298850574712,0.0114942528735632,0.2873563218390804,0.252873563218391,0.655172413793103,0.091954022988506,0.908045977011494,-0.402298850574712,0.176359581403328,15.2862110137939,0.298850574712644,16.5107460021973,93.9696551724138,1.574243,49.128169636167286,-1.880721926689148,-1.880721926689148,-1.8680394887924192,-1.7584973573684692
A0A1D8PCI6,Candida albicans,Eukaryota,Small ribosomal subunit protein eS4,Eukaryotic ribosomal protein eS4 family,ribosomal,-1.533253192901611,-1.235035437664,-1.459603786468506,-0.7307309508323669,-0.7865456342697144,-0.992957033,1.885827,-0.867875,-0.898,-0.972357,-1.1982574462890625,-0.6551295855573116,-1.8786533734270632,262,112.12921068702288,10.14779109954834,20.390445498095353,0.0778261278553257,3.2090468031549797,0.2175572519083969,0.1030534351145038,-0.3740458015267175,0.0687022900763358,0.4198473282442748,20.288167938931274,0.0458015267175572,0.2519083969465648,0.251908396946565,0.637404580152672,0.110687022900763,0.889312977099237,-0.3854961832061069,0.101446037361137,18.5143737792969,0.301526717557252,19.3973178863525,94.7857633587786,1.858036,42.69901609287416,-1.573346495628357,-1.573346495628357,-1.6559728384017944,-1.5708978176116943
A0A1D8PCW6,Candida albicans,Eukaryota,Small ribosomal subunit protein uS9,Universal ribosomal protein uS9 family,ribosomal,-1.7197203636169434,-1.19141850001375,-1.54929780960083,-0.5574828386306763,-0.6495927572250366,-0.510772863,1.717436,-1.197884,-0.789666,-0.811289,-1.0998962832168797,-0.8976961592553367,-2.4116056200484155,142,110.83952887323944,10.287236213684082,16.757467343794353,0.1180103334070024,1.342725240115632,0.2112676056338028,0.0704225352112676,-0.3140845070422535,0.0845070422535211,0.4014084507042254,26.329577464788716,0.028169014084507,0.2957746478873239,0.429577464788732,0.507042253521127,0.0633802816901409,0.936619718309859,-0.0774647887323949,0.22102178287114,16.7423133850098,0.302816901408451,18.9366130828857,95.3047887323944,1.741967,45.69324023217377,-1.6604732275009155,-1.6604732275009155,-1.750718593597412,-1.7862623929977417
A0A1D8PDT3,Candida albicans,Eukaryota,Small ribosomal subunit protein uS11,Universal ribosomal protein uS11 family,ribosomal,-1.69322407245636,-1.22145519834576,-1.5275214910507202,-0.4596512913703918,-0.4599810838699341,-1.248435884,1.66255,-1.400575,-0.527088,-0.547993,-0.905775127988873,-0.5746915412671638,-2.7611079360499526,132,106.25680606060604,10.905745887756346,11.67487000087308,0.0884459848550991,1.0827659852907212,0.1969696969696969,0.0909090909090909,-0.3825757575757575,0.0378787878787878,0.3863636363636363,57.50303030303029,0.0378787878787878,0.3939393939393939,0.318181818181818,0.560606060606061,0.121212121212121,0.878787878787879,-0.2424242424242429,0.222609038360483,15.1644592285156,0.303030303030303,16.4831447601318,92.9291666666667,1.728921,46.29141679553881,-1.681833028793335,-1.681833028793335,-1.8199714422225952,-1.720506191253662
A0A1D8PDT4,Candida albicans,Eukaryota,Large ribosomal subunit protein eL39,Eukaryotic ribosomal protein eL39 family,ribosomal,-2.044374942779541,-1.91801781747855,-1.9715218544006348,-0.1985088586807251,-0.2425782829523086,-2.493903387,1.417059,-1.482695,-1.097377,-1.003507,-2.535698984183518,-1.1119061638327206,-1.644480536965763,51,124.10604705882352,11.999967765808105,15.57956862864476,0.3054817378165639,0.7003974295202644,0.3529411764705882,0.0196078431372549,-1.56078431372549,0.0784313725490196,0.3333333333333333,78.92156862745095,0.0588235294117647,0.1764705882352941,0.509803921568627,0.333333333333333,0.15686274509804,0.84313725490196,0.176470588235294,0.196078431372549,13.9726972579956,0.294117647058823,14.8507747650146,93.8307843137255,1.370294,44.62758590808761,-1.9378472566604616,-1.9378472566604616,-2.191904067993164,-1.8646609783172607
A0A1D8PDU3,Candida albicans,Eukaryota,Small ribosomal subunit protein uS12,Universal ribosomal protein uS12 family,ribosomal,-1.8603754043579104,-1.46757907209725,-1.7121124267578125,-0.6357390284538269,-0.6404790878295898,-0.580462204,1.506795,-1.468461,-0.665097,-0.552682,-1.30990042850889,-0.7655206614527209,-2.341344583445582,145,110.10683103448277,10.817939949035647,21.65625864071195,0.1493535078669789,1.1921818071143662,0.2413793103448275,0.0758620689655172,-0.5358620689655172,0.0620689655172413,0.3931034482758621,24.95241379310344,0.0413793103448275,0.2689655172413793,0.310344827586207,0.606896551724138,0.0827586206896549,0.9172413793103452,-0.296551724137931,0.141391325243302,19.9436874389648,0.303448275862069,22.2490978240967,94.6679310344828,1.557767,51.234480242123475,-1.811797857284546,-1.811797857284546,-1.9792097806930544,-1.8611904382705688
A0A1D8PEV4,Candida albicans,Eukaryota,Large ribosomal subunit protein eL42,Eukaryotic ribosomal protein eL42 family,ribosomal,-2.0151026248931885,-1.77502498986586,-2.0230493545532227,-0.4325149953365326,-0.4707131385803222,-1.80564324,1.228511,-1.923645,-0.483919,-0.519957,-1.0170063522626769,-0.5679849588646079,-2.635600539873231,106,115.33366320754718,10.378587913513185,24.783176371590933,0.2338035506753861,1.7780129705188177,0.320754716981132,0.0471698113207547,-1.0594339622641509,0.0754716981132075,0.2641509433962264,41.86320754716981,0.0188679245283018,0.2358490566037736,0.160377358490566,0.754716981132076,0.084905660377358,0.915094339622642,-0.59433962264151,0.316037735849057,19.546028137207,0.30188679245283,21.2550659179688,94.9770754716981,1.333308,47.34095732253053,-2.0703842639923096,-2.0703842639923096,-2.1383800506591797,-2.1040256023406982
A0A1D8PEY9,Candida albicans,Eukaryota,Small ribosomal subunit protein eS17,Eukaryotic ribosomal protein eS17 family,ribosomal,-1.9428788423538208,-1.60782684548928,-1.7591556310653689,-1.0419888496398926,-1.1997748613357544,-0.656644394,1.359919,-1.642859,-0.853419,-1.071758,-1.619109773287808,-0.9311165914048244,-2.901957936530566,137,114.88357664233575,10.454918479919431,13.689588771965449,0.0999240056347842,1.1289547304315537,0.2262773722627737,0.1094890510948905,-0.6430656934306569,0.0583941605839416,0.3722627737226277,43.142408759124095,0.0364963503649635,0.2481751824817518,0.642335766423358,0.240875912408759,0.116788321167883,0.8832116788321169,0.401459854014599,0.10975130031907,26.2167644500732,0.299270072992701,27.7119312286377,87.1402919708029,1.393257,45.803156567909795,-1.941359519958496,-1.941359519958496,-2.0226387977600098,-2.007593870162964
A0A1D8PF08,Candida albicans,Eukaryota,Large ribosomal subunit protein uL2,Universal ribosomal protein uL2 family,ribosomal,-1.910645604133606,-1.61590023491326,-1.653241753578186,-0.6518780589103699,-0.691152036190033,-1.227872508,1.564235,-1.561321,-1.083391,-1.157202,-1.023247666246309,-0.4469085453063484,-1.8812772495540109,254,107.52405393700788,10.706409645080566,29.283319888109705,0.1152886609768098,2.955088600603061,0.2165354330708661,0.0669291338582677,-0.4779527559055118,0.0551181102362204,0.374015748031496,24.535433070866127,0.0433070866141732,0.3346456692913386,0.177165354330709,0.767716535433071,0.05511811023622,0.94488188976378,-0.5905511811023619,0.149981252343457,21.580150604248,0.299212598425197,22.6047592163086,96.6916929133858,1.583283,43.72453861906847,-1.8391046524047852,-1.8391046524047852,-1.9895291328430176,-1.8272203207015991
A0A1D8PFV1,Candida albicans,Eukaryota,Large ribosomal subunit protein uL4,Universal ribosomal protein uL4 family,ribosomal,-1.818626880645752,-1.52768524422133,-1.7669541835784912,-0.9915395975112916,-1.139053225517273,-1.125986411,1.587162,-1.335789,-0.960676,-1.112619,-1.3606898620437329,-0.7979164648975551,-2.611954281809573,363,108.02145261707987,10.748378562927249,39.282805608552614,0.1082170953403653,3.0604503431454866,0.1928374655647383,0.0606060606060606,-0.3303030303030302,0.0550964187327823,0.4242424242424242,34.90055096418732,0.0440771349862259,0.3223140495867769,0.410468319559229,0.473829201101928,0.1157024793388429,0.884297520661157,-0.0633608815426989,0.134017154133208,35.8715744018555,0.300275482093664,41.101806640625,93.7065564738292,1.582097,44.73278167772325,-1.8209294080734253,-1.8209294080734253,-1.9581297636032104,-1.8652474880218504
A0A1D8PHW1,Candida albicans,Eukaryota,Large ribosomal subunit protein uL5,Universal ribosomal protein uL5 family,ribosomal,-1.7071919441223145,-1.18378053862473,-1.5632826089859009,-0.6821667551994324,-0.7064579725265503,-0.626523959,1.683695,-1.469642,-0.741518,-0.835222,-1.1012660059435615,-0.7910505272876257,-2.177985180383441,174,113.92813735632186,9.95374126434326,11.774629635164178,0.0676702852595642,1.4903445442562795,0.2068965517241379,0.1206896551724137,-0.596551724137931,0.0747126436781609,0.3505747126436782,38.581666666666656,0.0172413793103448,0.264367816091954,0.367816091954023,0.53448275862069,0.097701149425287,0.9022988505747128,-0.1666666666666669,0.226293103448276,17.43505859375,0.298850574712644,18.3428649902344,92.7852873563218,1.686483,45.2899012920812,-1.6934165954589844,-1.6934165954589844,-1.8229563236236572,-1.7864081859588623
A0A1D8PK22,Candida albicans,Eukaryota,Small ribosomal subunit protein uS19,Universal ribosomal protein uS19 family,ribosomal,-1.8084540367126465,-1.4227578606404,-1.7427910566329956,-1.1249094009399414,-1.234153389930725,-1.627692311,1.62468,-1.605672,-0.912238,-1.142392,-1.8372953173140405,-1.2015180990729533,-2.935759208571743,142,112.24336338028168,10.315408897399898,12.76563944904034,0.089898869359439,1.3974415463675216,0.204225352112676,0.0915492957746478,-0.3098591549295774,0.0774647887323943,0.4436619718309859,40.446478873239414,0.0633802816901408,0.2605633802816901,0.387323943661972,0.443661971830986,0.169014084507042,0.830985915492958,-0.056338028169014,0.128353032769481,19.8434753417969,0.302816901408451,22.8338642120361,86.7603521126761,1.643287,43.559393655969046,-1.8266451358795168,-1.8266451358795168,-1.934450626373291,-1.8662556409835815
A0A1D8PK30,Candida albicans,Eukaryota,Large ribosomal subunit protein uL29,Universal ribosomal protein uL29 family,ribosomal,-2.0303008556365967,-1.80275472005208,-1.931474566459656,-1.1833500862121582,-1.3422147035598757,-1.188510331,1.382364,-1.703557,-1.022217,-1.104348,-2.35576909383138,-1.2965662638346354,-2.907983907063802,120,117.37919833333332,11.24239978790283,21.59382377591464,0.1799485314659553,0.876633225915123,0.275,0.0833333333333333,-0.7683333333333333,0.0583333333333333,0.4,49.540916666666654,0.0333333333333333,0.2166666666666666,0.716666666666667,0.241666666666667,0.0416666666666659,0.958333333333334,0.475,0.100213675213675,26.1114330291748,0.3,28.8887748718262,93.6306666666667,1.412151,43.74749374398915,-2.019118070602417,-2.019118070602417,-2.113455057144165,-2.0233397483825684
A0A1D8PL99,Candida albicans,Eukaryota,Small ribosomal subunit protein eS6,Eukaryotic ribosomal protein eS6 family,ribosomal,-1.8022100925445557,-1.44947375281382,-1.7277560234069824,-0.8382181525230408,-0.8779467940330505,-1.353791802,1.611563,-1.064465,-0.833027,-0.956821,-1.2117410433494438,-0.6378194518008474,-2.259212170617055,236,114.7709995762712,10.156236457824708,24.9398786587824,0.1056774519439932,2.17475186179375,0.2542372881355932,0.1271186440677966,-0.9292372881355933,0.0550847457627118,0.3347457627118644,42.27461864406778,0.0338983050847457,0.2288135593220339,0.343220338983051,0.584745762711864,0.072033898305085,0.927966101694915,-0.2415254237288129,0.14341663206372,33.1374320983887,0.300847457627119,37.1951560974121,94.7840254237288,1.64699,45.16421646915998,-1.743906021118164,-1.743906021118164,-1.876097321510315,-1.818858027458191
A0A1D8PM75,Candida albicans,Eukaryota,Large ribosomal subunit protein eL30,Eukaryotic ribosomal protein eL30 family,ribosomal,-1.7186031341552734,-1.43381975281913,-1.5616613626480105,-0.8185840845108032,-0.9926903247833252,-1.04429766,1.674763,-1.35127,-0.757301,-0.958793,-2.132177676794664,-1.379193000073703,-3.188263515256486,106,108.54014811320756,9.714950370788571,7.48704581047269,0.0706325076459687,0.6148877753676709,0.1415094339622641,0.0660377358490566,-0.1075471698113207,0.0754716981132075,0.3867924528301887,29.45377358490566,0.0283018867924528,0.320754716981132,0.594339622641509,0.320754716981132,0.084905660377359,0.915094339622641,0.2735849056603769,0.310512129380054,12.4470996856689,0.30188679245283,12.8779926300049,91.3172641509434,1.711956,47.27054404120998,-1.707963466644287,-1.707963466644287,-1.807657241821289,-1.7865848541259766
A0A1D8PPE0,Candida albicans,Eukaryota,Small ribosomal subunit protein uS15,Universal ribosomal protein uS15 family,ribosomal,-1.8656964302062988,-1.53368635367084,-1.6801484823226929,-0.6741966605186462,-0.6772598624229431,-1.357142249,1.513329,-1.514609,-0.758953,-0.800822,-1.1647969429066638,-0.7118867280467457,-2.2879517409975167,151,112.22199735099338,10.226249122619633,14.85054075725999,0.0983479520348343,1.5916439933379385,0.2052980132450331,0.0794701986754966,-0.3112582781456953,0.0728476821192053,0.423841059602649,45.67549668874172,0.0463576158940397,0.2781456953642384,0.701986754966887,0.231788079470199,0.066225165562914,0.933774834437086,0.470198675496688,0.0955807437595517,17.9086227416992,0.298013245033113,18.7399501800537,93.2601324503311,1.528851,43.68294474309267,-1.8037059307098389,-1.8037059307098389,-1.8985769748687744,-1.8430523872375488
