model,uniprot_id,func_recovery,bg_recovery,n_func
Caliby,A9A498,0.6666666666666666,0.460431654676259,9
Caliby,A9A498,0.4444444444444444,0.5035971223021583,9
Caliby,A9A498,0.6666666666666666,0.5107913669064749,9
Caliby,A9A498,0.6666666666666666,0.5,9
Caliby,A9A498,0.6666666666666666,0.5071942446043165,9
Caliby,A9A498,0.6666666666666666,0.5071942446043165,9
Caliby,A9A498,0.6666666666666666,0.5251798561151079,9
Caliby,A9A498,0.5555555555555556,0.49280575539568344,9
ESM-IF,A9A498,0.8888888888888888,0.697841726618705,9
ESM-IF,A9A498,0.8888888888888888,0.6762589928057554,9
ESM-IF,A9A498,0.8888888888888888,0.6726618705035972,9
ESM-IF,A9A498,0.8888888888888888,0.6870503597122302,9
ESM-IF,A9A498,0.8888888888888888,0.6762589928057554,9
ESM-IF,A9A498,0.8888888888888888,0.6618705035971223,9
ESM-IF,A9A498,0.8888888888888888,0.6726618705035972,9
ESM-IF,A9A498,0.8888888888888888,0.6942446043165468,9
MIF,A9A498,0.4444444444444444,0.5467625899280576,9
MIF,A9A498,0.6666666666666666,0.5575539568345323,9
MIF,A9A498,0.5555555555555556,0.5431654676258992,9
MIF,A9A498,0.4444444444444444,0.5755395683453237,9
MIF,A9A498,0.4444444444444444,0.5359712230215827,9
MIF,A9A498,0.7777777777777778,0.5611510791366906,9
MIF,A9A498,0.6666666666666666,0.5323741007194245,9
MIF,A9A498,0.6666666666666666,0.539568345323741,9
MIF-ST,A9A498,0.2222222222222222,0.42805755395683454,9
MIF-ST,A9A498,0.3333333333333333,0.4352517985611511,9
MIF-ST,A9A498,0.4444444444444444,0.4316546762589928,9
MIF-ST,A9A498,0.3333333333333333,0.3669064748201439,9
MIF-ST,A9A498,0.0,0.381294964028777,9
MIF-ST,A9A498,0.1111111111111111,0.41007194244604317,9
MIF-ST,A9A498,0.4444444444444444,0.4460431654676259,9
MIF-ST,A9A498,0.3333333333333333,0.4316546762589928,9
ProteinMPNN,A9A498,0.6666666666666666,0.539568345323741,9
ProteinMPNN,A9A498,0.6666666666666666,0.5539568345323741,9
ProteinMPNN,A9A498,0.6666666666666666,0.5431654676258992,9
ProteinMPNN,A9A498,0.7777777777777778,0.5503597122302158,9
ProteinMPNN,A9A498,0.7777777777777778,0.5431654676258992,9
ProteinMPNN,A9A498,0.6666666666666666,0.5575539568345323,9
ProteinMPNN,A9A498,0.7777777777777778,0.5143884892086331,9
ProteinMPNN,A9A498,0.7777777777777778,0.5179856115107914,9
SolubleCaliby,A9A498,0.4444444444444444,0.4748201438848921,9
SolubleCaliby,A9A498,0.5555555555555556,0.4892086330935252,9
SolubleCaliby,A9A498,0.6666666666666666,0.4568345323741007,9
SolubleCaliby,A9A498,0.4444444444444444,0.4712230215827338,9
SolubleCaliby,A9A498,0.5555555555555556,0.460431654676259,9
SolubleCaliby,A9A498,0.5555555555555556,0.460431654676259,9
SolubleCaliby,A9A498,0.5555555555555556,0.48201438848920863,9
SolubleCaliby,A9A498,0.4444444444444444,0.4748201438848921,9
SolubleMPNN,A9A498,0.7777777777777778,0.5143884892086331,9
SolubleMPNN,A9A498,0.7777777777777778,0.5359712230215827,9
SolubleMPNN,A9A498,0.6666666666666666,0.5251798561151079,9
SolubleMPNN,A9A498,0.6666666666666666,0.5143884892086331,9
SolubleMPNN,A9A498,0.7777777777777778,0.5,9
SolubleMPNN,A9A498,0.6666666666666666,0.5359712230215827,9
SolubleMPNN,A9A498,0.6666666666666666,0.5107913669064749,9
SolubleMPNN,A9A498,0.6666666666666666,0.5071942446043165,9
Caliby,O28542,0.3,0.45454545454545453,10
Caliby,O28542,0.3,0.4484848484848485,10
Caliby,O28542,0.2,0.44242424242424244,10
Caliby,O28542,0.3,0.46060606060606063,10
Caliby,O28542,0.2,0.45454545454545453,10
Caliby,O28542,0.2,0.42424242424242425,10
Caliby,O28542,0.2,0.42727272727272725,10
Caliby,O28542,0.2,0.44545454545454544,10
ESM-IF,O28542,0.6,0.6151515151515151,10
ESM-IF,O28542,0.6,0.6060606060606061,10
ESM-IF,O28542,0.6,0.6242424242424243,10
ESM-IF,O28542,0.7,0.603030303030303,10
ESM-IF,O28542,0.6,0.6181818181818182,10
ESM-IF,O28542,0.6,0.6060606060606061,10
ESM-IF,O28542,0.6,0.6,10
ESM-IF,O28542,0.6,0.6181818181818182,10
MIF,O28542,0.5,0.5121212121212121,10
MIF,O28542,0.3,0.5060606060606061,10
MIF,O28542,0.5,0.4909090909090909,10
MIF,O28542,0.5,0.5545454545454546,10
MIF,O28542,0.5,0.503030303030303,10
MIF,O28542,0.5,0.4818181818181818,10
MIF,O28542,0.5,0.5303030303030303,10
MIF,O28542,0.3,0.5363636363636364,10
MIF-ST,O28542,0.2,0.403030303030303,10
MIF-ST,O28542,0.1,0.39090909090909093,10
MIF-ST,O28542,0.3,0.4212121212121212,10
MIF-ST,O28542,0.0,0.3484848484848485,10
MIF-ST,O28542,0.2,0.3090909090909091,10
MIF-ST,O28542,0.3,0.36666666666666664,10
MIF-ST,O28542,0.1,0.396969696969697,10
MIF-ST,O28542,0.2,0.43333333333333335,10
ProteinMPNN,O28542,0.4,0.5,10
ProteinMPNN,O28542,0.3,0.509090909090909,10
ProteinMPNN,O28542,0.3,0.47575757575757577,10
ProteinMPNN,O28542,0.3,0.5242424242424243,10
ProteinMPNN,O28542,0.3,0.5060606060606061,10
ProteinMPNN,O28542,0.3,0.4818181818181818,10
ProteinMPNN,O28542,0.3,0.5,10
ProteinMPNN,O28542,0.3,0.4909090909090909,10
SolubleCaliby,O28542,0.4,0.4393939393939394,10
SolubleCaliby,O28542,0.4,0.4484848484848485,10
SolubleCaliby,O28542,0.3,0.44545454545454544,10
SolubleCaliby,O28542,0.4,0.42727272727272725,10
SolubleCaliby,O28542,0.4,0.43333333333333335,10
SolubleCaliby,O28542,0.4,0.44242424242424244,10
SolubleCaliby,O28542,0.4,0.4666666666666667,10
SolubleCaliby,O28542,0.4,0.45151515151515154,10
SolubleMPNN,O28542,0.4,0.5212121212121212,10
SolubleMPNN,O28542,0.4,0.5484848484848485,10
SolubleMPNN,O28542,0.4,0.5151515151515151,10
SolubleMPNN,O28542,0.4,0.5393939393939394,10
SolubleMPNN,O28542,0.4,0.5454545454545454,10
SolubleMPNN,O28542,0.2,0.5303030303030303,10
SolubleMPNN,O28542,0.3,0.5363636363636364,10
SolubleMPNN,O28542,0.3,0.5151515151515151,10
Caliby,O58832,0.0,0.5073746312684366,3
Caliby,O58832,0.0,0.5221238938053098,3
Caliby,O58832,0.0,0.5162241887905604,3
Caliby,O58832,0.0,0.504424778761062,3
Caliby,O58832,0.0,0.5073746312684366,3
Caliby,O58832,0.0,0.5162241887905604,3
Caliby,O58832,0.0,0.5221238938053098,3
Caliby,O58832,0.0,0.5191740412979351,3
ESM-IF,O58832,1.0,0.7522123893805309,3
ESM-IF,O58832,1.0,0.7551622418879056,3
ESM-IF,O58832,1.0,0.7492625368731564,3
ESM-IF,O58832,1.0,0.7610619469026548,3
ESM-IF,O58832,1.0,0.7463126843657817,3
ESM-IF,O58832,1.0,0.7581120943952803,3
ESM-IF,O58832,1.0,0.7492625368731564,3
ESM-IF,O58832,1.0,0.7551622418879056,3
MIF,O58832,1.0,0.528023598820059,3
MIF,O58832,0.0,0.5545722713864307,3
MIF,O58832,1.0,0.5486725663716814,3
MIF,O58832,0.0,0.5457227138643068,3
MIF,O58832,0.6666666666666666,0.5457227138643068,3
MIF,O58832,0.0,0.5457227138643068,3
MIF,O58832,0.3333333333333333,0.5486725663716814,3
MIF,O58832,0.6666666666666666,0.5811209439528023,3
MIF-ST,O58832,0.0,0.4218289085545723,3
MIF-ST,O58832,0.0,0.3834808259587021,3
MIF-ST,O58832,0.0,0.3687315634218289,3
MIF-ST,O58832,0.0,0.3864306784660767,3
MIF-ST,O58832,0.0,0.3834808259587021,3
MIF-ST,O58832,0.0,0.3303834808259587,3
MIF-ST,O58832,0.0,0.4365781710914454,3
MIF-ST,O58832,0.3333333333333333,0.40412979351032446,3
ProteinMPNN,O58832,0.0,0.5811209439528023,3
ProteinMPNN,O58832,0.0,0.56047197640118,3
ProteinMPNN,O58832,0.0,0.6017699115044248,3
ProteinMPNN,O58832,0.0,0.5899705014749262,3
ProteinMPNN,O58832,0.0,0.5575221238938053,3
ProteinMPNN,O58832,0.0,0.5663716814159292,3
ProteinMPNN,O58832,0.0,0.584070796460177,3
ProteinMPNN,O58832,0.0,0.5899705014749262,3
SolubleCaliby,O58832,0.0,0.5221238938053098,3
SolubleCaliby,O58832,0.0,0.5309734513274337,3
SolubleCaliby,O58832,0.0,0.5014749262536873,3
SolubleCaliby,O58832,0.0,0.5221238938053098,3
SolubleCaliby,O58832,0.0,0.5191740412979351,3
SolubleCaliby,O58832,0.0,0.5014749262536873,3
SolubleCaliby,O58832,0.0,0.5250737463126843,3
SolubleCaliby,O58832,0.0,0.5457227138643068,3
SolubleMPNN,O58832,0.0,0.5368731563421829,3
SolubleMPNN,O58832,0.0,0.5457227138643068,3
SolubleMPNN,O58832,0.0,0.5781710914454278,3
SolubleMPNN,O58832,0.0,0.5870206489675516,3
SolubleMPNN,O58832,0.0,0.5575221238938053,3
SolubleMPNN,O58832,0.0,0.5899705014749262,3
SolubleMPNN,O58832,0.0,0.5663716814159292,3
SolubleMPNN,O58832,0.0,0.5929203539823009,3
Caliby,P02819,0.0,0.4,4
Caliby,P02819,0.0,0.4888888888888889,4
Caliby,P02819,0.0,0.4,4
Caliby,P02819,0.0,0.4888888888888889,4
Caliby,P02819,0.0,0.4666666666666667,4
Caliby,P02819,0.0,0.5111111111111111,4
Caliby,P02819,0.0,0.4,4
Caliby,P02819,0.0,0.5111111111111111,4
ESM-IF,P02819,0.25,0.4888888888888889,4
ESM-IF,P02819,0.25,0.4888888888888889,4
ESM-IF,P02819,0.25,0.5777777777777777,4
ESM-IF,P02819,0.25,0.4666666666666667,4
ESM-IF,P02819,0.25,0.4666666666666667,4
ESM-IF,P02819,0.25,0.4666666666666667,4
ESM-IF,P02819,0.25,0.5111111111111111,4
ESM-IF,P02819,0.25,0.5111111111111111,4
MIF,P02819,0.25,0.5111111111111111,4
MIF,P02819,0.25,0.5333333333333333,4
MIF,P02819,0.25,0.4666666666666667,4
MIF,P02819,0.25,0.5333333333333333,4
MIF,P02819,0.25,0.4666666666666667,4
