family,name,base,case,control,wt,case_minus_control,case_minus_base
ESM2-35M,A0A0K4NT36,-0.04789719626168224,-0.003504672897196261,0.017523364485981307,-0.009345794392523364,-0.02102803738317757,0.04439252336448598
ESM2-35M,A0A1B8NWS3,-0.020104895104895104,-0.06993006993006994,-0.012237762237762238,-0.03496503496503497,-0.057692307692307696,-0.04982517482517483
ESM2-35M,A0A1B8NY48,0.0279126213592233,-0.07402912621359223,0.015776699029126214,0.0,-0.08980582524271843,-0.10194174757281553
ESM2-35M,A0A6M4JMT8,0.004528985507246377,-0.0480072463768116,0.04528985507246377,0.050724637681159424,-0.09329710144927536,-0.052536231884057975
ESM2-35M,A0A8I1WGL7,-0.009417808219178082,0.074486301369863,0.05821917808219178,-0.00684931506849315,0.01626712328767123,0.08390410958904108
ESM2-35M,A0AAW9IU92,0.027173913043478264,-0.025815217391304348,0.19429347826086957,-0.03260869565217391,-0.22010869565217392,-0.05298913043478261
ESM2-35M,B7LAJ9,0.10729166666666666,0.004166666666666667,0.03333333333333333,0.08333333333333333,-0.029166666666666667,-0.103125
ESM2-35M,C6JW08,0.12171052631578946,0.01206140350877193,0.06578947368421052,0.05263157894736842,-0.0537280701754386,-0.10964912280701754
ESM2-35M,O32167,0.5084951456310679,-0.01699029126213592,0.11407766990291261,0.08737864077669903,-0.13106796116504854,-0.5254854368932038
ESM2-35M,Q1W525,0.0586340206185567,-0.04574742268041237,0.028994845360824743,0.03608247422680412,-0.07474226804123711,-0.10438144329896906
ProteinMPNN,A0A0K4NT36,0.009345794392523364,0.05724299065420561,0.11682242990654204,-0.009345794392523364,-0.059579439252336434,0.04789719626168224
ProteinMPNN,A0A1B8NWS3,-0.09965034965034965,-0.12325174825174826,0.004370629370629372,-0.03496503496503497,-0.12762237762237763,-0.023601398601398607
ProteinMPNN,A0A1B8NY48,-0.01820388349514563,-0.22694174757281554,0.03519417475728155,0.0,-0.2621359223300971,-0.20873786407766992
ProteinMPNN,A0A6M4JMT8,0.009057971014492754,-0.151268115942029,0.0552536231884058,0.050724637681159424,-0.20652173913043478,-0.16032608695652176
ProteinMPNN,A0A8I1WGL7,0.010273972602739725,-0.18835616438356165,0.025684931506849314,-0.00684931506849315,-0.21404109589041095,-0.1986301369863014
ProteinMPNN,A0AAW9IU92,-0.057065217391304345,-0.10326086956521739,0.059782608695652176,-0.03260869565217391,-0.16304347826086957,-0.04619565217391305
ProteinMPNN,B7LAJ9,-0.04270833333333333,-0.35104166666666664,0.09166666666666666,0.08333333333333333,-0.4427083333333333,-0.3083333333333333
ProteinMPNN,C6JW08,-0.01425438596491228,-0.13596491228070173,0.03289473684210526,0.05263157894736842,-0.168859649122807,-0.12171052631578945
ProteinMPNN,O32167,4.336808689942018e-19,-0.3859223300970874,0.010922330097087377,0.08737864077669903,-0.39684466019417475,-0.3859223300970874
ProteinMPNN,Q1W525,-0.04574742268041237,-0.4271907216494845,-0.14755154639175258,0.03608247422680412,-0.27963917525773196,-0.38144329896907214
