Entry,pdb_id,chain,domain,species_collapsed,species,protein_family,broad_function,resolution_A,resolved_len,seqres_len,sequence_length,mw_per_residue,isoelectric_point,charge_at_ph7,acidic_residue_fraction,basic_residue_fraction,gravy,aromaticity,instability_index,proline_fraction,small_residue_fraction,ordered_percent,helix_sheet_contrast,rco,avg_cb_distance,surface_exposure,caliby_score,carp_640M_score,proteinmpnn_score,solublempnn_score,AlkalineMPNN_score,AcidophileMPNN_score,ESM2_15B_pppl_score,esm3_struct_cond_score,esm3_seq_only_score,esmif_score,mif_score,mifst_score,progen2_XL_score,protgpt2_score,soluble_caliby_score,triflow_score
3DXS_1,3DXS,X,Eukaryota,Arabidopsis thaliana,Arabidopsis thaliana,Cation transport ATPase (P-type) (TC 3.A.3) family,translocase,1.7,74,74,74,108.90646621621622,4.23032169342041,-8.490875632961199,0.1891891891891892,0.081081081081081,0.0797297297297297,0.054054054054054,38.25000000000001,0.0135135135135135,0.2567567567567567,0.8918918918918919,0.1351351351351351,0.3783783783783784,10.550541877746582,0.2972972972972973,1.721247,-1.6106832027435305,-1.8182387351989744,-1.8194580078125,-1.7302390336990356,-1.7974088191986084,-1.5286836624145508,-1.58616,-1.763539,-1.5468732473012563,-1.7292609214782717,-1.4698307514190674,-1.3360324550319362,-3.030605006862331,1.721247,-2.179839
3DB5_1,3DB5,A,Eukaryota,Homo sapiens,Homo sapiens,Class V-like SAM-binding methyltransferase superfamily,transferase,2.15,124,151,124,116.66460241935472,6.089922904968262,-1.7078626834998705,0.1129032258064516,0.1290322580645161,-0.2741935483870967,0.1129032258064516,62.42266129032258,0.0725806451612903,0.1854838709677419,0.8951612903225806,-0.5564516129032259,0.2782111436950146,15.08733367919922,0.2983870967741935,1.66944,-1.9854129552841189,-1.6774852275848389,-1.6956508159637451,-1.6706653833389282,-1.6830686330795288,-1.5572307109832764,-1.959337,-2.507006,-1.42750980008033,,,-1.89530514132592,-3.382909467143397,1.66944,-3.428672
5ZX1_1,5ZX1,A,Eukaryota,Trypanosoma brucei brucei,Trypanosoma brucei brucei,Unclassified,other,2.31,84,117,84,113.546413095238,5.918780708312987,-1.18221028091477,0.1785714285714286,0.1785714285714286,-0.3571428571428571,0.0357142857142857,77.52499999999999,0.0238095238095238,0.25,0.9285714285714286,0.8571428571428572,0.1746031746031746,13.837491035461426,0.2976190476190476,1.469243,-2.4813308715820312,-1.86332106590271,-1.943210244178772,-1.798822999000549,-1.814235091209412,-0.6061623692512512,-1.697536,-2.447298,-1.6927882603236608,-1.8102229833602903,-1.8363053798675537,-2.8761316935221353,-3.8153334118071056,1.469243,-2.440601
3S8S_1,3S8S,A,Eukaryota,Homo sapiens,Homo sapiens,Class V-like SAM-binding methyltransferase superfamily,histone,1.3,107,110,107,114.90778504672888,9.560032844543455,5.11267534452584,0.102803738317757,0.1869158878504672,-0.4028037383177567,0.0654205607476635,17.618691588785044,0.0373831775700934,0.2242990654205607,0.897196261682243,0.0560747663551401,0.2872602065912444,12.454299926757812,0.2990654205607476,1.746114,-0.6176118850708008,-1.588046669960022,-1.5733444690704346,-1.348742961883545,-1.3822917938232422,-1.0758205652236938,-1.602258,-2.172545,-1.2923231748777015,-1.287400245666504,-0.4946765005588531,-0.6358977701062354,-3.5827807845356308,1.746114,-1.841136
1XHB_1,1XHB,A,Eukaryota,Mus musculus,Mus musculus,Glycosyltransferase 2 family,transferase,2.5,447,472,447,115.14378635346756,8.179120063781738,3.8329142353076904,0.1230425055928411,0.1588366890380313,-0.4114093959731545,0.0917225950782997,48.086823266219255,0.0425055928411633,0.2147651006711409,0.8657718120805369,-0.302013422818792,0.1065453641561024,23.45325088500977,0.2997762863534675,1.719949,-0.6981765031814575,-1.6589661836624146,-1.624163031578064,-1.6922346353530884,-1.652622938156128,-0.9516040086746216,-1.109362,-1.280408,-1.332579064422539,,,-0.4091020622509438,-1.5189019188251538,1.719949,-1.575323
3RJO_1,3RJO,A,Eukaryota,Homo sapiens,Homo sapiens,Peptidase M1 family,hydrolase,2.3,408,419,408,116.9296965686276,7.833053779602051,2.092139694700876,0.1176470588235294,0.1568627450980392,-0.3566176470588236,0.1078431372549019,42.53014705882351,0.0245098039215686,0.2156862745098039,0.9338235294117648,0.4485294117647058,0.0608195010677538,23.00290870666504,0.3014705882352941,1.682882,-1.381784439086914,-1.745566725730896,-1.7545645236968994,-1.6431010961532593,-1.6595754623413086,-1.079945087432861,-1.595531,-1.801548,-1.4072858025045956,,,-0.7969406726313573,-2.950587553136489,1.682882,-1.710966
1DVN_1,1DVN,A,Eukaryota,Homo sapiens,Homo sapiens,Serpin family,protease_inhibitor,2.1,379,379,379,112.84616121372056,6.971893501281738,-0.0878956545925788,0.100263852242744,0.1319261213720316,-0.141160949868074,0.0976253298153034,33.930606860158306,0.0554089709762533,0.258575197889182,0.9023746701846966,-0.2058047493403694,0.2349859439637768,19.608795166015625,0.3007915567282322,1.77758,-1.636210322380066,-1.7218623161315918,-1.719049096107483,-1.685824632644653,-1.6829906702041626,-0.5187920928001404,-1.54484,-1.79813,-1.263196638202919,-1.3960039615631104,-1.2555317878723145,-0.6335901748536444,-2.466315840668288,1.77758,-1.592874
1XON_1,1XON,A,Eukaryota,Homo sapiens,Homo sapiens,Cyclic nucleotide phosphodiesterase family,hydrolase,1.72,322,349,322,115.5339279503108,5.015836524963378,-21.164925214774406,0.15527950310559,0.1366459627329192,-0.2509316770186335,0.0745341614906832,35.83260869565217,0.031055900621118,0.1956521739130434,0.906832298136646,0.6583850931677019,0.1139076016588166,18.506671905517575,0.3012422360248447,1.79215,-0.3177028298377991,-1.5249457359313965,-1.462955117225647,-1.33585524559021,-1.3858115673065186,-1.3397096395492554,-0.980852,-1.133148,-1.0151105608258928,,,-0.2495308633176436,-1.2218580542143829,1.79215,-1.345197
1MAI_1,1MAI,A,Eukaryota,Rattus norvegicus,Rattus norvegicus,Pfam:PF00168,hydrolase,1.9,119,131,119,117.60323193277294,7.991259193420411,1.0282239570223624,0.1596638655462184,0.1932773109243697,-0.7470588235294122,0.0756302521008403,64.46563025210084,0.042016806722689,0.1932773109243697,0.907563025210084,-0.1848739495798319,0.2122302158273381,13.198687553405762,0.3025210084033613,1.785259,-1.4238489866256714,-1.5894644260406494,-1.6712548732757568,-1.4699153900146484,-1.5292551517486572,-0.6843404173851013,-1.360067,-1.933984,-1.2734736594833245,-1.29428231716156,-1.1199390888214111,-0.482224664768251,-3.723674357438288,1.785259,-1.551199
4BGQ_1,4BGQ,A,Eukaryota,Homo sapiens,Homo sapiens,Protein kinase superfamily,transferase,2.0,276,304,276,116.3194362318841,8.821289634704591,5.514582799139831,0.1231884057971014,0.1739130434782609,-0.2884057971014495,0.0905797101449275,44.61996376811594,0.0543478260869565,0.1630434782608695,0.8840579710144927,0.1159420289855072,0.11064753818377,18.84172821044922,0.3007246376811594,2.013801,-0.8675105571746826,-1.4873011112213137,-1.4663692712783811,-1.3400120735168457,-1.3470218181610107,-1.3473976850509644,-1.237834,-1.457976,-1.0100997703662815,,,-0.5395433729973392,-1.6948790619338767,2.013801,-1.314221
